iter	RMSE
0	12.28953059
1	11.93934091
2	11.58556807
3	11.32253856
4	11.06583091
5	10.83334838
6	10.63670513
7	10.4565308
8	10.30886065
9	10.16261165
10	10.02627236
11	9.905834336
12	9.801514551
13	9.708695631
14	9.599329908
15	9.51610604
16	9.437962277
17	9.349882469
18	9.28591749
19	9.226070182
20	9.179478722
21	9.131754582
22	9.07804444
23	9.029858364
24	8.98591997
25	8.945901349
26	8.932859754
27	8.891006887
28	8.827120997
29	8.788603826
30	8.737230317
31	8.701525068
32	8.653118808
33	8.622044282
34	8.592772806
35	8.555493207
36	8.513586434
37	8.480089507
38	8.462325519
39	8.423973309
40	8.381426691
41	8.339999025
42	8.318434021
43	8.283047243
44	8.254769915
45	8.231615206
46	8.200319581
47	8.177816345
48	8.155626433
49	8.130233083
50	8.110836788
51	8.085082298
52	8.062102595
53	8.045545171
54	8.029632537
55	8.008052593
56	7.988702219
57	7.973796404
58	7.949740856
59	7.930451774
60	7.918698685
61	7.894534856
62	7.873288079
63	7.855011858
64	7.836254696
65	7.814622118
66	7.798092053
67	7.786783307
68	7.77432212
69	7.753743132
70	7.735723638
71	7.709579446
72	7.698907412
73	7.687870622
74	7.673958645
75	7.656392178
76	7.641992077
77	7.621985397
78	7.611058478
79	7.596569632
80	7.58821015
81	7.57408733
82	7.564253652
83	7.538233022
84	7.525789165
85	7.511265499
86	7.496822543
87	7.481192744
88	7.468818899
89	7.459397185
90	7.447668281
91	7.434712032
92	7.421353698
93	7.406974389
94	7.395912433
95	7.386070988
96	7.371730175
97	7.357633287
98	7.344052399
99	7.330471589
