iter	Passed	Remaining
0	50	4964
1	87	4269
2	132	4274
3	178	4289
4	223	4242
5	270	4236
6	312	4152
7	350	4030
8	395	3998
9	442	3978
10	481	3898
11	526	3858
12	572	3832
13	617	3790
14	661	3747
15	707	3716
16	747	3650
17	788	3592
18	830	3542
19	875	3501
20	920	3463
21	959	3400
22	997	3340
23	1042	3302
24	1087	3262
25	1136	3234
26	1144	3095
27	1183	3043
28	1227	3005
29	1273	2971
30	1319	2936
31	1361	2892
32	1401	2846
33	1447	2808
34	1487	2761
35	1528	2716
36	1573	2679
37	1615	2636
38	1660	2596
39	1703	2555
40	1748	2516
41	1793	2476
42	1832	2429
43	1873	2384
44	1918	2344
45	1964	2305
46	2010	2267
47	2056	2228
48	2098	2184
49	2141	2141
50	2184	2099
51	2231	2059
52	2269	2012
53	2312	1969
54	2356	1928
55	2400	1886
56	2443	1843
57	2488	1801
58	2532	1759
59	2572	1714
60	2614	1671
61	2660	1630
62	2702	1587
63	2746	1545
64	2790	1502
65	2832	1459
66	2877	1417
67	2918	1373
68	2961	1330
69	3007	1289
70	3054	1247
71	3098	1204
72	3140	1161
73	3184	1118
74	3229	1076
75	3268	1032
76	3310	988
77	3351	945
78	3395	902
79	3440	860
80	3484	817
81	3522	773
82	3563	729
83	3606	687
84	3651	644
85	3697	601
86	3744	559
87	3785	516
88	3828	473
89	3874	430
90	3920	387
91	3966	344
92	4006	301
93	4051	258
94	4097	215
95	4142	172
96	4187	129
97	4230	86
98	4274	43
99	4319	0
